0 0 200_ 11111 
41660 30.25 66.88 10 20010530_3
41660 30.25 66.88 10 20010530_9
41660 30.25 66.88 100 20010530_6
41660 30.25 66.88 1000 20010530_0
41660 30.25 66.88 1000 20010530_12
41675 30.2 71.43 0 20010530_18
41675 30.2 71.43 10 20010530_15
41675 30.2 71.43 10 20010530_21
41675 30.2 71.43 10 20010530_9
41675 30.2 71.43 100 20010530_6
41675 30.2 71.43 1000 20010530_0
41675 30.2 71.43 1000 20010530_12
41675 30.2 71.43 1000 20010531_0
41675 30.2 71.43 10010 20010530_3
41678 29.95 73.25 0 20010530_0
41678 29.95 73.25 0 20010530_18
41678 29.95 73.25 10 20010530_15
41678 29.95 73.25 10 20010530_21
41678 29.95 73.25 10 20010530_9
41678 29.95 73.25 100 20010530_6
41678 29.95 73.25 1000 20010530_12
41678 29.95 73.25 1000 20010531_0
41678 29.95 73.25 10010 20010530_3
41685 29.88 69.71 0 20010530_15
41685 29.88 69.71 0 20010530_18
41685 29.88 69.71 0 20010530_21
41685 29.88 69.71 0 20010530_6
41685 29.88 69.71 0 20010530_9
41685 29.88 69.71 1000 20010530_0
41685 29.88 69.71 1000 20010530_12
41685 29.88 69.71 1000 20010531_0
41685 29.88 69.71 10000 20010530_3
41696 29.03 66.58 0 20010530_15
41696 29.03 66.58 0 20010530_18
41696 29.03 66.58 0 20010530_21
41696 29.03 66.58 0 20010530_6
41696 29.03 66.58 0 20010530_9
41696 29.03 66.58 1000 20010530_0
41696 29.03 66.58 1000 20010530_12
41696 29.03 66.58 1000 20010531_0
41696 29.03 66.58 10000 20010530_3
41697 29.54 67.88 10 20010530_15
41697 29.54 67.88 10 20010530_18
41697 29.54 67.88 10 20010530_21
41697 29.54 67.88 10 20010530_9
41697 29.54 67.88 10010 20010530_3
41697 29.54 67.88 1010 20010530_0
41697 29.54 67.88 1010 20010530_12
41697 29.54 67.88 1010 20010531_0
41697 29.54 67.88 110 20010530_6
41700 29.39 71.78 0 20010530_18
41700 29.39 71.78 10 20010530_15
41700 29.39 71.78 10 20010530_21
41700 29.39 71.78 10 20010530_9
41700 29.39 71.78 100 20010530_6
41700 29.39 71.78 1000 20010530_0
41700 29.39 71.78 1000 20010530_12
41700 29.39 71.78 1000 20010531_0
41700 29.39 71.78 10010 20010530_3
41710 28.81 62.75 10 20010530_15
41710 28.81 62.75 10 20010530_18
41710 28.81 62.75 10 20010530_21
41710 28.81 62.75 10 20010530_9
41710 28.81 62.75 10010 20010530_3
41710 28.81 62.75 1010 20010530_0
41710 28.81 62.75 1010 20010530_12
41710 28.81 62.75 1010 20010531_0
41710 28.81 62.75 110 20010530_6
41712 28.88 64.4 0 20010530_18
41712 28.88 64.4 10 20010530_15
41712 28.88 64.4 10 20010530_9
41712 28.88 64.4 10 20010531_0
41712 28.88 64.4 100 20010530_6
41712 28.88 64.4 1000 20010530_0
41712 28.88 64.4 1000 20010530_12
41712 28.88 64.4 10010 20010530_3
41715 28.29 68.46 10 20010530_15
41715 28.29 68.46 10 20010530_18
41715 28.29 68.46 10 20010530_21
41715 28.29 68.46 10 20010530_9
41715 28.29 68.46 10010 20010530_3
41715 28.29 68.46 1010 20010530_0
41715 28.29 68.46 1010 20010530_12
41715 28.29 68.46 1010 20010531_0
41715 28.29 68.46 110 20010530_6
41718 28.64 70.68 0 20010530_18
41718 28.64 70.68 10 20010530_15
41718 28.64 70.68 10 20010530_21
41718 28.64 70.68 10 20010530_9
41718 28.64 70.68 1000 20010530_0
41718 28.64 70.68 1000 20010530_12
41718 28.64 70.68 1000 20010531_0
41718 28.64 70.68 10010 20010530_3
41725 27.66 68.9 10 20010530_15
41725 27.66 68.9 10 20010530_21
41725 27.66 68.9 10 20010530_9
41725 27.66 68.9 10010 20010530_3
41725 27.66 68.9 1010 20010530_0
41725 27.66 68.9 1010 20010530_12
41725 27.66 68.9 1010 20010530_18
41725 27.66 68.9 1010 20010531_0
41725 27.66 68.9 110 20010530_6
41739 26.96 64.09 10 20010530_15
41739 26.96 64.09 10 20010530_18
41739 26.96 64.09 10 20010530_21
41739 26.96 64.09 10 20010530_9
41739 26.96 64.09 10010 20010530_3
41739 26.96 64.09 1010 20010530_0
41739 26.96 64.09 1010 20010530_12
41739 26.96 64.09 1010 20010531_0
41739 26.96 64.09 110 20010530_6
41744 27.83 66.63 0 20010530_15
41744 27.83 66.63 0 20010530_18
41744 27.83 66.63 0 20010530_6
41744 27.83 66.63 0 20010530_9
41744 27.83 66.63 1000 20010530_0
41744 27.83 66.63 1000 20010530_12
41744 27.83 66.63 1000 20010531_0
41744 27.83 66.63 10000 20010530_3
41746 26.85 68.13 10 20010530_15
41746 26.85 68.13 10 20010530_18
41746 26.85 68.13 10 20010530_21
41746 26.85 68.13 10 20010530_9
41746 26.85 68.13 10010 20010530_3
41746 26.85 68.13 1010 20010530_0
41746 26.85 68.13 1010 20010530_12
41746 26.85 68.13 1010 20010531_0
41746 26.85 68.13 110 20010530_6
41749 26.25 68.36 0 20010530_18
41749 26.25 68.36 10 20010530_15
41749 26.25 68.36 10 20010530_21
41749 26.25 68.36 10 20010530_9
41749 26.25 68.36 1000 20010530_12
41749 26.25 68.36 1000 20010531_0
41749 26.25 68.36 10010 20010530_3
41749 26.25 68.36 1010 20010530_0
41749 26.25 68.36 110 20010530_6
41759 25.26 63.48 10 20010530_15
41759 25.26 63.48 10 20010530_9
41759 25.26 63.48 100 20010530_12
41759 25.26 63.48 100 20010530_6
41759 25.26 63.48 1000 20010530_0
41759 25.26 63.48 1000 20010530_18
41759 25.26 63.48 1000 20010531_0
41759 25.26 63.48 10010 20010530_3
41764 25.38 68.41 10 20010530_15
41764 25.38 68.41 10 20010530_18
41764 25.38 68.41 10 20010530_21
41764 25.38 68.41 10 20010530_9
41764 25.38 68.41 10010 20010530_3
41764 25.38 68.41 1010 20010530_0
41764 25.38 68.41 1010 20010530_12
41764 25.38 68.41 1010 20010531_0
41764 25.38 68.41 110 20010530_6
41768 25.51 69.78 10 20010530_15
41768 25.51 69.78 10 20010530_18
